;roomType;roomPrice;roomURL;hostType;rating;countReviews;;Kitchen;Smoking allowed;Pool;Laundry room;Dryer;WiFi;Ethernet connection;TV;Pets Allowed;Patio;Crib;Bedroom 2;Baby bath;Unavailable: Lock on bedroom door;Sauna;Refrigerator;Waterfront;View;Long term stays allowed;Breakfast;Bedroom;Lock on bedroom door;High Chair;Lit path to the guest entrance;HDTV;Elevator;Accessible;Security Cameras;Bathroom;Smoke Alarm;EV Charger;Parking;Fire pit;Microwave;Washer;Luggage Dropoff Allowed;Air Conditioning;Hot Tub;Bathtub;Carbon Monoxide Alarm
0;Loft;268.0;https://www.airbnb.com/rooms/928365669161508082?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234447_BBSZhXw1AWujxLfU&previous_page_section_name=1000&federated_search_id=be86f4a8-f1e0-4824-a925-3eb25828cf48;preferido;4.89;74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Loft;99.0;https://www.airbnb.com/rooms/53832612?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234447_wX29IjrCiiOg9abS&previous_page_section_name=1000&federated_search_id=be86f4a8-f1e0-4824-a925-3eb25828cf48;preferido;4.95;148;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;1;1;0;0;1
2;Chalé;329.0;https://www.airbnb.com/rooms/22588205?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234447_qAO2GNw8tfgdWLRC&previous_page_section_name=1000&federated_search_id=be86f4a8-f1e0-4824-a925-3eb25828cf48;preferido;4.94;319;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0;0;1
3;Chalé;595.0;https://www.airbnb.com/rooms/1109625220756043884?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234447_izIF1KBO0z2HSMr1&previous_page_section_name=1000&federated_search_id=be86f4a8-f1e0-4824-a925-3eb25828cf48;superhost;5.0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;Quarto;276.0;https://www.airbnb.com/rooms/22084606?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234447_zd0%2FUCmvZ9Ht2kAu&previous_page_section_name=1000&federated_search_id=be86f4a8-f1e0-4824-a925-3eb25828cf48;preferido;4.93;507;0;0;0;0;0;1;1;0;1;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
5;Cabana;565.0;https://www.airbnb.com/rooms/810999834606442491?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234447_xO2%2BqzDGralRljX3&previous_page_section_name=1000&federated_search_id=be86f4a8-f1e0-4824-a925-3eb25828cf48;superhost;4.97;107;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;Contêiner;345.0;https://www.airbnb.com/rooms/883907038291109079?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234447_d9Bp7fkkqsr4YRzq&previous_page_section_name=1000&federated_search_id=be86f4a8-f1e0-4824-a925-3eb25828cf48;preferido;5.0;29;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1
7;Microcasa;421.0;https://www.airbnb.com/rooms/48210628?adults=2&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-09-18&check_out=2024-09-20&source_impression_id=p3_1716234448_iTnWNoqQyRiGeO5J&previous_page_section_name=1000&federated_search_id=be86f4a8-f1e0-4824-a925-3eb25828cf48;;4.84;255;0;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;1
8;Casa;685.0;https://www.airbnb.com/rooms/954309581842773778?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234447_L0qxW9DLoiigVxOC&previous_page_section_name=1000&federated_search_id=be86f4a8-f1e0-4824-a925-3eb25828cf48;preferido;5.0;69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
9;Apartamento;194.0;https://www.airbnb.com/rooms/53610698?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234447_sHn%2BOo%2FlkCjlEIQq&previous_page_section_name=1000&federated_search_id=be86f4a8-f1e0-4824-a925-3eb25828cf48;preferido;4.98;306;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0;0;1
10;Quarto;301.0;https://www.airbnb.com/rooms/1049448825391418696?adults=2&category_tag=Tag%3A8678&enable_m3_private_room=true&photo_id=1805899165&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234447_DO2EIRRdGktxhl%2FO&previous_page_section_name=1000&federated_search_id=be86f4a8-f1e0-4824-a925-3eb25828cf48;preferido;4.96;26;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;1;1;1
11;Cabana;685.0;https://www.airbnb.com/rooms/958044210581017065?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234447_F0MphfWLxgnQWvuB&previous_page_section_name=1000&federated_search_id=be86f4a8-f1e0-4824-a925-3eb25828cf48;preferido;4.97;58;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;1;1
12;Chalé;577.0;https://www.airbnb.com/rooms/655150009210807038?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234447_TMRF2bKrupxFOgOB&previous_page_section_name=1000&federated_search_id=be86f4a8-f1e0-4824-a925-3eb25828cf48;preferido;4.94;180;0;1;0;0;0;1;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1
